market_id,market_family,provider_market_type,market_name,period,line,over_outcome_id,under_outcome_id
10767,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,0.5,10767,10768
10771,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,1.5,10771,10772
10775,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,2.5,10775,10776
10779,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,3.5,10779,10780
10783,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,4.5,10783,10784
10787,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,5.5,10787,10788
10791,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,6.5,10791,10792
10795,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,7.5,10795,10796
10799,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,8.5,10799,10800
10803,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,9.5,10803,10804
10807,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,10.5,10807,10808
10811,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,11.5,10811,10812
10815,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,12.5,10815,10816
10819,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,13.5,10819,10820
10823,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,14.5,10823,10824
10827,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,15.5,10827,10828
10831,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,16.5,10831,10832
10835,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,17.5,10835,10836
10839,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,18.5,10839,10840
10843,TOTAL_CORNERS,totals-corners,Corners - Over Under Full Time,fulltime,19.5,10843,10844
101412,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,0.5,101412,101413
101416,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,1.5,101416,101417
101420,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,2.5,101420,101421
101424,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,3.5,101424,101425
101428,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,4.5,101428,101429
101432,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,5.5,101432,101433
101436,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,6.5,101436,101437
101440,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,7.5,101440,101441
101444,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,8.5,101444,101445
101448,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,9.5,101448,101449
101452,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,10.5,101452,101453
101456,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,11.5,101456,101457
101460,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,12.5,101460,101461
101464,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,13.5,101464,101465
101468,HOME_TEAM_TOTAL_CORNERS,teamtotals-corners-team1,Corners - Over Under Team 1,fulltime,14.5,101468,101469
101472,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,0.5,101472,101473
101476,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,1.5,101476,101477
101480,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,2.5,101480,101481
101484,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,3.5,101484,101485
101488,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,4.5,101488,101489
101492,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,5.5,101492,101493
101496,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,6.5,101496,101497
101500,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,7.5,101500,101501
101504,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,8.5,101504,101505
101508,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,9.5,101508,101509
101512,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,10.5,101512,101513
101516,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,11.5,101516,101517
101520,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,12.5,101520,101521
101524,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,13.5,101524,101525
101528,AWAY_TEAM_TOTAL_CORNERS,teamtotals-corners-team2,Corners - Over Under Team 2,fulltime,14.5,101528,101529
