competition,market_family,rank,bookmaker,correlation_group,discovery_two_sided_line_count,discovery_target_snapshot_count
Bundesliga,TOTAL_CORNERS,1,betrivers,PARX_RIVERS_RETAIL,11,3826
Bundesliga,TOTAL_CORNERS,2,borgata,MGM,7,94
Bundesliga,HOME_TEAM_TOTAL_CORNERS,1,betrivers,PARX_RIVERS_RETAIL,8,2485
Bundesliga,HOME_TEAM_TOTAL_CORNERS,2,borgata,MGM,4,45
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,1,betrivers,PARX_RIVERS_RETAIL,11,3232
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,2,borgata,MGM,3,55
Championship,TOTAL_CORNERS,1,ballybet,PARX_RIVERS_RETAIL,10,1811
Championship,TOTAL_CORNERS,2,betmgm,MGM,7,47
Championship,HOME_TEAM_TOTAL_CORNERS,1,ballybet,PARX_RIVERS_RETAIL,9,831
Championship,HOME_TEAM_TOTAL_CORNERS,2,betmgm,MGM,3,264
Championship,AWAY_TEAM_TOTAL_CORNERS,1,ballybet,PARX_RIVERS_RETAIL,7,591
Championship,AWAY_TEAM_TOTAL_CORNERS,2,betmgm,MGM,3,315
LaLiga,TOTAL_CORNERS,1,ballybet,PARX_RIVERS_RETAIL,12,5703
LaLiga,TOTAL_CORNERS,2,draftkings,DRAFTKINGS,7,851
LaLiga,TOTAL_CORNERS,3,borgata,MGM,7,79
LaLiga,HOME_TEAM_TOTAL_CORNERS,1,ballybet,PARX_RIVERS_RETAIL,9,4675
LaLiga,HOME_TEAM_TOTAL_CORNERS,2,borgata,MGM,3,36
LaLiga,HOME_TEAM_TOTAL_CORNERS,3,draftkings,DRAFTKINGS,1,25
LaLiga,AWAY_TEAM_TOTAL_CORNERS,1,ballybet,PARX_RIVERS_RETAIL,9,4052
LaLiga,AWAY_TEAM_TOTAL_CORNERS,2,borgata,MGM,3,27
LaLiga,AWAY_TEAM_TOTAL_CORNERS,3,draftkings,DRAFTKINGS,1,21
Premier League,TOTAL_CORNERS,1,ballybet,PARX_RIVERS_RETAIL,12,4091
Premier League,TOTAL_CORNERS,2,borgata,MGM,7,70
Premier League,HOME_TEAM_TOTAL_CORNERS,1,betparx,PARX_RIVERS_RETAIL,10,2912
Premier League,AWAY_TEAM_TOTAL_CORNERS,1,betparx,PARX_RIVERS_RETAIL,9,3039
Premier League,AWAY_TEAM_TOTAL_CORNERS,2,betmgm,MGM,3,301
