competition,market_family,bookmaker,correlation_group,two_sided_line_count,target_snapshot_count,timestamped_snapshot_count,timestamp_complete_rate,eligible,two_sided_lines
Bundesliga,TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,11,3340,3340,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5
Bundesliga,HOME_TEAM_TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,8,2199,2199,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,11,2719,2719,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5
Bundesliga,TOTAL_CORNERS,betmgm,MGM,7,73,73,1.0,True,6.5;7.5;8.5;9.5;10.5;11.5;12.5
Bundesliga,HOME_TEAM_TOTAL_CORNERS,betmgm,MGM,4,37,37,1.0,True,1.5;2.5;3.5;4.5
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,betmgm,MGM,3,48,48,1.0,True,5.5;6.5;7.5
Bundesliga,TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,11,3441,3441,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5
Bundesliga,HOME_TEAM_TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,8,2257,2257,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,11,2759,2759,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5
Bundesliga,TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,11,3826,3826,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5
Bundesliga,HOME_TEAM_TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,8,2485,2485,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,11,3232,3232,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5
Bundesliga,TOTAL_CORNERS,borgata,MGM,7,94,94,1.0,True,6.5;7.5;8.5;9.5;10.5;11.5;12.5
Bundesliga,HOME_TEAM_TOTAL_CORNERS,borgata,MGM,4,45,45,1.0,True,1.5;2.5;3.5;4.5
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,borgata,MGM,3,55,55,1.0,True,5.5;6.5;7.5
Bundesliga,TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Bundesliga,HOME_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Bundesliga,TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Bundesliga,HOME_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Bundesliga,AWAY_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Bundesliga,TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,11,2215,2215,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5
